Date;Open;High;Low;Close;Adj Close;Volume
24.12.2001;1946839966;1953900024;1942069946;1944479980;1944479980;564380000
26.12.2001;1948770020;1983839966;1948770020;1960699951;1960699951;1127350000
27.12.2001;1967319946;1982729980;1962119995;1976420044;1976420044;1241060000
28.12.2001;1985709961;2002719971;1982369995;1987260010;1987260010;1328290000
31.12.2001;1984310059;1989170044;1950400024;1950400024;1950400024;1414840000
2.01.2002;1965180054;1979260010;1936560059;1979250000;1979250000;1517670000
3.01.2002;1987060059;2044560059;1987060059;2044270020;2044270020;2209630000
4.01.2002;2061830078;2077889893;2033560059;2059379883;2059379883;2205610000
7.01.2002;2075239990;2081090088;2036859985;2037099976;2037099976;2121110000
8.01.2002;2039420044;2060229980;2027339966;2055739990;2055739990;1873670000
9.01.2002;2074320068;2098879883;2034089966;2044890015;2044890015;2321450000
10.01.2002;2045130005;2055889893;2026050049;2047239990;2047239990;1761640000
11.01.2002;2049500000;2058770020;2018680054;2022459961;2022459961;1625530000
14.01.2002;2012589966;2018420044;1979939941;1990739990;1990739990;1801650000
15.01.2002;1994880005;2011250000;1977280029;2000910034;2000910034;1675150000
16.01.2002;1976420044;1981810059;1944319946;1944439941;1944439941;1917270000
17.01.2002;1968699951;1985829956;1954060059;1985819946;1985819946;1893110000
18.01.2002;1943560059;1964739990;1922699951;1930339966;1930339966;1693010000
22.01.2002;1946869995;1947410034;1882140015;1882530029;1882530029;1817220000
23.01.2002;1889530029;1925150024;1879239990;1922380005;1922380005;1871120000
24.01.2002;1937670044;1959930054;1936339966;1942579956;1942579956;1907870000
25.01.2002;1929150024;1951790039;1923060059;1937699951;1937699951;1655310000
28.01.2002;1951119995;1958959961;1925430054;1943910034;1943910034;1482080000
29.01.2002;1947089966;1959050049;1883489990;1892989990;1892989990;1875380000
30.01.2002;1897729980;1913660034;1851489990;1913439941;1913439941;2066970000
31.01.2002;1924560059;1935170044;1906900024;1934030029;1934030029;1803530000
